Close_BTC,Close_ETH,Close_SPX,Close_NASDAQ,GDP,UNRATE,CPI,FFR
8368.830078,707.049988,2722.459961,7398.299805,20304.874,3.8,250.792,1.7
8094.319824,672.656982,2720.129883,7382.470215,20304.874,3.8,250.792,1.7
8250.969727,694.367004,2712.969971,7354.339844,20304.874,3.8,250.792,1.7
8418.990234,699.221985,2733.01001,7394.040039,20304.874,3.8,250.792,1.7
8041.779785,647.741028,2724.439941,7378.459961,20304.874,3.8,250.792,1.7
7557.819824,583.585022,2733.290039,7425.959961,20304.874,3.8,250.792,1.7
7587.339844,601.755005,2727.76001,7424.430176,20304.874,3.8,250.792,1.7
7480.140137,586.734009,2721.330078,7433.850098,20304.874,3.8,250.792,1.7
7472.589844,565.388,2689.860107,7396.589844,20304.874,3.8,250.792,1.7
7406.52002,559.590027,2724.01001,7462.450195,20304.874,3.8,250.792,1.7
7494.169922,577.64502,2705.27002,7442.120117,20304.874,3.8,250.792,1.7
7541.450195,580.04303,2734.620117,7554.330078,20304.874,4.0,251.018,1.82
7514.470215,592.984985,2746.870117,7606.459961,20304.874,4.0,251.018,1.82
7633.759766,609.302979,2748.800049,7637.859863,20304.874,4.0,251.018,1.82
7653.97998,607.124023,2772.350098,7689.240234,20304.874,4.0,251.018,1.82
7678.240234,605.187012,2770.370117,7635.069824,20304.874,4.0,251.018,1.82
7624.919922,601.077026,2779.030029,7645.509766,20304.874,4.0,251.018,1.82
6906.919922,533.283997,2782.0,7659.930176,20304.874,4.0,251.018,1.82
6582.359863,496.842987,2786.850098,7703.790039,20304.874,4.0,251.018,1.82
6349.899902,477.493988,2775.629883,7695.700195,20304.874,4.0,251.018,1.82
6675.350098,519.742004,2782.48999,7761.040039,20304.874,4.0,251.018,1.82
6456.580078,491.003998,2779.659912,7746.379883,20304.874,4.0,251.018,1.82
6734.819824,518.890991,2773.75,7747.029785,20304.874,4.0,251.018,1.82
6769.939941,537.95697,2762.590088,7725.589844,20304.874,4.0,251.018,1.82
6776.549805,536.268005,2767.320068,7781.509766,20304.874,4.0,251.018,1.82
6729.740234,527.367004,2749.76001,7712.950195,20304.874,4.0,251.018,1.82
6083.689941,465.816986,2754.879883,7692.819824,20304.874,4.0,251.018,1.82
6249.180176,460.309998,2717.070068,7532.009766,20304.874,4.0,251.018,1.82
6093.669922,432.772003,2723.060059,7561.629883,20304.874,4.0,251.018,1.82
6157.129883,442.36499,2699.629883,7445.080078,20304.874,4.0,251.018,1.82
5903.439941,422.36499,2716.310059,7503.680176,20304.874,4.0,251.018,1.82
6218.299805,436.009003,2718.370117,7510.299805,20304.874,4.0,251.018,1.82
6614.180176,475.346985,2726.709961,7567.689941,20304.874,4.0,251.018,1.82
6529.589844,464.195007,2713.219971,7502.669922,20304.874,4.0,251.018,1.82
6639.140137,474.411987,2736.610107,7586.430176,20304.874,4.0,251.018,1.82
6673.5,474.011993,2759.820068,7688.390137,20304.874,4.0,251.018,1.82
6741.75,476.682007,2784.169922,7756.200195,20304.874,4.0,251.018,1.82
6329.950195,434.424011,2793.840088,7759.200195,20304.874,4.0,251.018,1.82
6394.709961,446.518005,2774.02002,7716.609863,20304.874,4.0,251.018,1.82
6228.810059,430.074005,2798.290039,7823.919922,20304.874,4.0,251.018,1.82
6238.049805,434.027008,2801.310059,7825.97998,20304.874,4.0,251.018,1.82
6741.75,480.65799,2798.429932,7805.720215,20304.874,4.0,251.018,1.82
7321.040039,501.002014,2809.550049,7855.120117,20304.874,4.0,251.018,1.82
7370.779785,480.513,2815.620117,7854.439941,20304.874,4.0,251.018,1.82
7466.859863,469.618988,2804.48999,7825.299805,20304.874,4.0,251.018,1.82
7354.129883,450.697998,2801.830078,7820.200195,20304.874,4.0,251.018,1.82
7711.109863,450.852997,2806.97998,7841.870117,20304.874,4.0,251.018,1.82
8424.269531,479.372986,2820.399902,7840.77002,20304.874,4.0,251.018,1.82
8181.390137,472.493011,2846.070068,7932.240234,20304.874,4.0,251.018,1.82
7951.580078,464.036987,2837.439941,7852.180176,20304.874,4.0,251.018,1.82
8165.009766,469.665985,2818.820068,7737.419922,20304.874,4.0,251.018,1.82
8180.47998,457.080994,2802.600098,7630.0,20304.874,4.0,251.018,1.82
7780.439941,433.867004,2816.290039,7671.790039,20304.874,4.0,251.018,1.82
7624.910156,420.747009,2813.360107,7707.290039,20304.874,3.8,251.663,1.91
7567.149902,412.621002,2827.219971,7802.689941,20304.874,3.8,251.663,1.91
7434.390137,418.261993,2840.350098,7812.009766,20304.874,3.8,251.663,1.91
6951.799805,406.65799,2850.399902,7859.680176,20304.874,3.8,251.663,1.91
6753.120117,380.214996,2858.449951,7883.660156,20304.874,3.8,251.663,1.91
6305.799805,356.613007,2857.699951,7888.330078,20304.874,3.8,251.663,1.91
6568.22998,365.588013,2853.580078,7891.779785,20304.874,3.8,251.663,1.91
6184.709961,334.175995,2833.280029,7839.109863,20304.874,3.8,251.663,1.91
6297.569824,286.494995,2821.929932,7819.709961,20304.874,3.8,251.663,1.91
6199.709961,278.932007,2839.959961,7870.890137,20304.874,3.8,251.663,1.91
6308.52002,282.364014,2818.370117,7774.120117,20304.874,3.8,251.663,1.91
6334.72998,288.04599,2840.689941,7806.52002,20304.874,3.8,251.663,1.91
6580.629883,315.729004,2850.129883,7816.330078,20304.874,3.8,251.663,1.91
6308.529785,274.315002,2857.050049,7821.009766,20304.874,3.8,251.663,1.91
6488.759766,281.944,2862.959961,7859.169922,20304.874,3.8,251.663,1.91
6376.709961,271.341003,2861.820068,7889.100098,20304.874,3.8,251.663,1.91
6534.879883,277.104004,2856.97998,7878.459961,20304.874,3.8,251.663,1.91
6719.959961,282.96701,2874.689941,7945.97998,20304.874,3.8,251.663,1.91
6884.640137,285.602997,2896.73999,8017.899902,20304.874,3.8,251.663,1.91
7096.279785,296.498993,2897.52002,8030.040039,20304.874,3.8,251.663,1.91
7047.160156,289.312012,2914.040039,8109.689941,20304.874,3.8,251.663,1.91
6978.22998,284.105011,2901.129883,8088.359863,20304.874,3.8,251.663,1.91
7037.580078,283.003998,2901.52002,8109.540039,20304.874,3.8,251.663,1.91
7361.660156,285.722992,2896.719971,8091.25,20304.874,3.8,251.663,1.91
6792.830078,232.330994,2888.600098,7995.169922,20304.874,3.8,251.663,1.91
6529.169922,230.214996,2878.050049,7922.72998,20304.874,3.8,251.663,1.91
6467.069824,217.203003,2871.679932,7902.540039,20304.874,3.8,251.663,1.91
6329.700195,197.078995,2877.129883,7924.160156,20304.874,3.8,251.663,1.91
6321.200195,185.065994,2887.889893,7972.470215,20304.874,3.8,251.663,1.91
6351.799805,183.330994,2888.919922,7954.22998,20304.874,3.8,251.663,1.91
6517.310059,211.354004,2904.179932,8013.709961,20304.874,3.8,251.663,1.91
6512.709961,211.748993,2904.97998,8010.040039,20304.874,3.8,251.663,1.91
6281.200195,197.875,2888.800049,7895.790039,20304.874,3.8,251.663,1.91
6371.299805,209.975006,2904.310059,7956.109863,20304.874,3.8,251.663,1.91
6398.540039,209.968994,2907.949951,7950.040039,20304.874,3.8,251.663,1.91
6519.669922,224.591003,2930.75,8028.22998,20304.874,3.8,251.663,1.91
6734.950195,246.584,2929.669922,7986.959961,20304.874,3.8,251.663,1.91
6595.410156,228.729996,2919.370117,7993.25,20304.874,3.8,251.663,1.91
6446.470215,218.505005,2915.560059,8007.470215,20304.874,3.8,251.663,1.91
6495.0,215.847,2905.969971,7990.370117,20304.874,3.8,251.663,1.91
6676.75,228.494003,2914.0,8041.970215,20304.874,3.8,251.663,1.91
6644.129883,222.401993,2913.97998,8046.350098,20304.874,3.8,251.663,1.91
6589.620117,230.768005,2924.590088,8037.299805,20304.874,3.8,252.772,2.19
6556.100098,227.181,2923.429932,7999.549805,20304.874,3.8,252.772,2.19
6502.589844,220.488998,2925.51001,8025.089844,20304.874,3.8,252.772,2.19
6576.689941,222.218002,2901.610107,7879.509766,20304.874,3.8,252.772,2.19
6622.47998,227.600998,2885.570068,7788.450195,20304.874,3.8,252.772,2.19
6652.22998,229.255005,2884.429932,7735.950195,20304.874,3.8,252.772,2.19
6642.640137,227.981995,2880.340088,7738.02002,20304.874,3.8,252.772,2.19
6585.529785,225.768997,2785.679932,7422.049805,20304.874,3.8,252.772,2.19
6256.240234,189.498993,2728.370117,7329.060059,20304.874,3.8,252.772,2.19
6274.580078,196.727005,2767.129883,7496.890137,20304.874,3.8,252.772,2.19
